E_on,E_off,E_dt,Vds_pk_off,ov_pct_off,E_sw,E_tot,Vds_pk,ov_pct,t_set,E_osc,Vgs_spur,Vgs_spur_hs,Vgs_spur_ls,margin,false_on,case,corner,NPU_LS,NPD_LS,NPD_HS,DT,CLKEN,VNEG
6.633253025174362e-06,6.417028234304464e-07,1.3456599688359543e-06,123.9721,23.972099999999998,7.274955848604809e-06,8.620615817440763e-06,123.9721,23.972099999999998,3.146567000000002e-08,58.63196029577809,-1.6238528399999996,-1.6238528399999996,-1.94657696,3.0238528399999995,0,nominal,100V_10A_25C,1,2,4,25n,1,-2
5.119183550197043e-06,1.1752760012375954e-06,1.0296957481052776e-06,118.866656,18.866656000000006,6.294459551434638e-06,7.324155299539916e-06,118.866656,18.866656000000006,4.120979000000007e-08,66.36516327973597,1.5801338999999928,1.5801338999999928,0.0674821543,-0.18013389999999285,1,nominal,100V_10A_25C,1,2,4,35n,0,0
6.227982407329084e-06,7.112419749328264e-07,2.3361369226531254e-06,119.248429,19.248429,6.93922438226191e-06,9.275361304915035e-06,119.248429,19.248429,3.556506000000002e-08,58.45718200488644,-0.7017826999999954,-0.7017826999999954,-1.94297136,2.1017826999999953,0,nominal,100V_10A_25C,1,2,4,35n,0,-2
5.275349488702812e-06,6.349201576107957e-07,1.0767408672192391e-06,123.943263,23.943263,5.910269646313608e-06,6.987010513532847e-06,123.943263,23.943263,4.925639000000009e-08,62.3559037065175,0.3809550999999942,0.3809550999999942,0.034681891,1.0190449000000057,0,nominal,100V_10A_25C,1,2,4,35n,1,0
6.629185269916319e-06,6.429488491581663e-07,2.3175723138048044e-06,123.9721,23.972099999999998,7.2721341190744855e-06,9.58970643287929e-06,123.9721,23.972099999999998,3.570459000000006e-08,58.15100225815062,-1.6235607100000005,-1.6235607100000005,-1.97750254,3.0235607100000004,0,nominal,100V_10A_25C,1,2,4,35n,1,-2
5.1527385329050795e-06,1.1742741930495644e-06,7.765498602656503e-07,118.793484,18.793484000000007,6.327012725954644e-06,7.103562586220294e-06,118.793484,18.793484000000007,4.452403000000009e-08,66.47511129126937,0.8495698000000118,0.8495698000000118,0.243794186,0.5504301999999881,0,nominal,100V_10A_25C,1,2,8,15n,0,0
6.444435700439181e-06,7.083960035715224e-07,8.080876317517191e-07,118.355297,18.355296999999993,7.152831704010703e-06,7.960919335762423e-06,118.355297,18.355296999999993,3.491512000000008e-08,59.15125854457751,-1.2900573500000005,-1.2900573500000005,-1.8357333,2.6900573500000005,0,nominal,100V_10A_25C,1,2,8,15n,0,-2
5.338899265607242e-06,6.303014750495557e-07,7.14617817856743e-07,123.917893,23.917893000000007,5.969200740656798e-06,6.683818558513541e-06,123.917893,23.917893000000007,4.877500000000001e-08,63.096313562893705,0.34534360000000675,0.34534360000000675,0.105611817,1.0546563999999932,0,nominal,100V_10A_25C,1,2,8,15n,1,0
6.644516804251069e-06,6.401592162164521e-07,7.962144049913503e-07,123.951988,23.951988,7.284676020467521e-06,8.080890425458871e-06,123.951988,23.951988,4.142499999999999e-08,59.059051249260406,-1.6744594599999996,-1.6744594599999996,-1.87963768,3.0744594599999995,0,nominal,100V_10A_25C,1,2,8,15n,1,-2
5.1444930023024825e-06,1.1738000582747587e-06,7.60585872603838e-07,118.793484,18.793484000000007,6.318293060577241e-06,7.078878933181079e-06,118.793484,18.793484000000007,4.1404050000000014e-08,66.61919260696634,0.8492462000000103,0.8492462000000103,0.108653938,0.5507537999999896,0,nominal,100V_10A_25C,1,2,8,25n,0,0
6.438696937669855e-06,7.092783321466082e-07,1.3832240702774323e-06,118.355297,18.355296999999993,7.1479752698164635e-06,8.531199340093896e-06,118.355297,18.355296999999993,3.1404560000000054e-08,58.79500379572776,-1.2899325600000004,-1.2899325600000004,-1.9133266,2.6899325600000004,0,nominal,100V_10A_25C,1,2,8,25n,0,-2
5.3007327918366085e-06,6.341748034948888e-07,6.971885329437827e-07,123.917893,23.917893000000007,5.934907595331498e-06,6.6320961282752806e-06,123.917893,23.917893000000007,4.9110409999999946e-08,62.79489312487876,0.32823199999999986,0.32823199999999986,0.0589451978,1.071768,0,nominal,100V_10A_25C,1,2,8,25n,1,0
6.660857962202499e-06,6.418911589852758e-07,1.384137142094097e-06,123.951988,23.951988,7.302749121187775e-06,8.686886263281872e-06,123.951988,23.951988,2.8217360000000082e-08,58.5631797817583,-1.6725718399999998,-1.6725718399999998,-1.95087766,3.0725718399999997,0,nominal,100V_10A_25C,1,2,8,25n,1,-2
5.1762012881369586e-06,4.861357153346277e-06,7.926963871784476e-08,1.19790765,-98.80209235000001,1.0037558441483235e-05,1.011682808020108e-05,142.279616,42.279616000000004,4.993490999999994e-08,78.02518635366818,4.62667983,0.8559242999999981,4.62667983,-3.2266798299999997,1,nominal,100V_10A_25C,1,2,8,5n,0,0
6.484690749649092e-06,7.164520499766693e-07,2.455922712629908e-07,26.6676551,-73.3323449,7.201142799625761e-06,7.446735070888752e-06,145.540075,45.540074999999995,6.096443000000007e-08,70.3609945971871,1.57167905,-1.2842489700000002,1.57167905,-0.17167905000000006,1,nominal,100V_10A_25C,1,2,8,5n,0,-2
5.339405313158312e-06,9.079592899093973e-07,7.948525191564357e-08,7.53455643,-92.46544357,6.247364603067709e-06,6.326849854983353e-06,162.30906,62.30905999999999,6.065205000000003e-08,76.36875211731375,1.02388796,0.35317840000000444,1.02388796,0.37611204,0,nominal,100V_10A_25C,1,2,8,5n,1,0
6.6704499410469895e-06,6.462628920556162e-07,2.739358042373344e-07,40.6453768,-59.3546232,7.316712833102605e-06,7.59064863733994e-06,135.84524,35.84523999999999,5.752500000000014e-08,62.9817900846752,-1.23533545,-1.6746611800000002,-1.23533545,2.63533545,0,nominal,100V_10A_25C,1,2,8,5n,1,-2
5.127547183706185e-06,1.1721951477490436e-06,7.540383522443445e-07,96.4209395,-3.579060499999997,6.299742331455229e-06,7.0537806836995734e-06,118.00072,18.00072,4.797499999999995e-08,65.58958391263151,1.35351319,0.8474049999999949,1.35351319,0.04648680999999999,0,nominal,100V_10A_25C,1,2,8,10n,0,0
6.441845682126242e-06,7.077181081914489e-07,8.272289809172032e-07,117.712786,17.712785999999994,7.149563790317691e-06,7.976792771234894e-06,117.712786,17.712785999999994,4.4725000000000025e-08,58.505956584413084,-1.288942360000001,-1.288942360000001,-1.50165235,2.688942360000001,0,nominal,100V_10A_25C,1,2,8,10n,0,-2
5.2388713178716765e-06,6.294744350479816e-07,7.117835018163142e-07,123.917893,23.917893000000007,5.868345752919658e-06,6.580129254735972e-06,123.917893,23.917893000000007,4.542500000000008e-08,61.980052007180014,0.2955333999999965,0.2955333999999965,0.172285329,1.1044666000000034,0,nominal,100V_10A_25C,1,2,8,10n,1,0
6.627616500782719e-06,6.39728115310041e-07,8.158649639835167e-07,123.951988,23.951988,7.267344616092759e-06,8.083209580076276e-06,123.951988,23.951988,4.8006510000000116e-08,58.75543526483133,-1.6766934100000004,-1.6766934100000004,-1.82401902,3.0766934100000003,0,nominal,100V_10A_25C,1,2,8,10n,1,-2
5.138657311801608e-06,1.173625271168797e-06,1.043334357888853e-06,118.793484,18.793484000000007,6.312282582970405e-06,7.355616940859258e-06,118.793484,18.793484000000007,4.137881999999997e-08,66.03892973463243,0.8488842000000005,0.8488842000000005,0.054942421,0.5511157999999994,0,nominal,100V_10A_25C,1,2,8,35n,0,0
6.434114688690669e-06,7.104726895338682e-07,2.3554954303037353e-06,118.355297,18.355296999999993,7.144587378224537e-06,9.500082808528273e-06,118.355297,18.355296999999993,3.5663869999999946e-08,58.267877017621544,-1.2895159100000004,-1.2895159100000004,-1.95259314,2.6895159100000003,0,nominal,100V_10A_25C,1,2,8,35n,0,-2
5.288153343798567e-06,6.37551186908899e-07,1.1043474485118477e-06,123.917893,23.917893000000007,5.925704530707466e-06,7.030051979219313e-06,123.917893,23.917893000000007,4.927076999999995e-08,62.34672281741889,0.32253359999999986,0.32253359999999986,0.0334238986,1.0774664,0,nominal,100V_10A_25C,1,2,8,35n,1,0
6.655066047359871e-06,6.431222964152972e-07,2.356295839253619e-06,123.951988,23.951988,7.298188343775168e-06,9.654484183028787e-06,123.951988,23.951988,3.580537999999997e-08,58.07886068610683,-1.6727365800000005,-1.6727365800000005,-1.9805173,3.0727365800000004,0,nominal,100V_10A_25C,1,2,8,35n,1,-2
1.3917670741639665e-05,6.361523124118646e-07,5.742587097070092e-07,99.4814391,-0.5185608999999971,1.455382305405153e-05,1.512808176375854e-05,121.628615,21.628614999999996,4.611732000000001e-08,42.39042408455941,3.594132700000003,3.594132700000003,0.411142678,-2.194132700000003,1,nominal,100V_10A_25C,1,8,1,5n,0,0
5.6130698878626965e-06,6.108325783477793e-07,5.474815212766816e-07,122.025307,22.025306999999998,6.223902466210476e-06,6.771383987487157e-06,123.627107,23.627106999999995,4.216556e-08,35.15210990830588,2.566198,2.566198,-1.74229287,-1.166198,1,nominal,100V_10A_25C,1,8,1,5n,0,-2
5.06947509088359e-06,6.367347487915681e-07,5.80345466003638e-07,99.5119821,-0.48801790000000267,5.706209839675158e-06,6.286555305678795e-06,121.443927,21.443927000000002,4.607500000000002e-08,42.335125232747004,1.3210179999999951,1.3210179999999951,0.167870226,0.07898200000000477,0,nominal,100V_10A_25C,1,8,1,5n,1,0
6.3194011579064945e-06,6.111814690375092e-07,5.588771668306172e-07,121.873335,21.873334999999997,6.9305826269440035e-06,7.48945979377462e-06,123.367881,23.367880999999997,4.222500000000005e-08,35.18728689791735,-0.3732920000000064,-0.3732920000000064,-1.85954234,1.7732920000000063,0,nominal,100V_10A_25C,1,8,1,5n,1,-2
9.12484094726686e-06,6.338796260696864e-07,3.506826742232231e-07,123.521334,23.521333999999996,9.758720573336546e-06,1.0109403247559768e-05,123.521334,23.521333999999996,3.941845000000001e-08,43.38206226630365,3.159887799999993,3.159887799999993,0.224323034,-1.759887799999993,1,nominal,100V_10A_25C,1,8,1,10n,0,0
6.214119721507964e-06,6.080341879619307e-07,2.8795049567325337e-07,125.896852,25.896851999999996,6.822153909469895e-06,7.110104405143148e-06,125.896852,25.896851999999996,4.8417390000000015e-08,37.534961054231594,1.6191863000000097,1.6191863000000097,-1.75444273,-0.21918630000000983,1,nominal,100V_10A_25C,1,8,1,10n,0,-2
5.214912781768232e-06,6.361428358499067e-07,5.682854449337832e-07,122.155733,22.155733,5.851055617618138e-06,6.419341062551921e-06,122.155733,22.155733,3.967499999999996e-08,42.427148465762585,0.4694590000000005,0.4694590000000005,0.101790065,0.9305409999999994,0,nominal,100V_10A_25C,1,8,1,10n,1,0
6.544784127908442e-06,6.097909331895131e-07,5.27580587213744e-07,123.520976,23.520976000000005,7.154575061097955e-06,7.682155648311699e-06,123.520976,23.520976000000005,4.517499999999995e-08,36.2966509644622,-1.5786421500000003,-1.5786421500000003,-1.88817937,2.97864215,0,nominal,100V_10A_25C,1,8,1,10n,1,-2
8.607305053963397e-06,6.336311286242021e-07,2.0327250581953071e-07,123.521334,23.521333999999996,9.2409361825876e-06,9.444208688407131e-06,123.521334,23.521333999999996,4.605515000000001e-08,44.489484405099574,3.065175400000001,3.065175400000001,0.171763688,-1.6651754000000012,1,nominal,100V_10A_25C,1,8,1,15n,0,0
6.329171825561299e-06,6.091324574546077e-07,4.194219922225747e-07,125.896852,25.896851999999996,6.938304283015907e-06,7.357726275238482e-06,125.896852,25.896851999999996,4.545494000000005e-08,38.05656117306814,1.615826300000009,1.615826300000009,-1.85248694,-0.21582630000000913,1,nominal,100V_10A_25C,1,8,1,15n,0,-2
5.313206783241148e-06,6.363491374107185e-07,5.657853859956946e-07,122.155733,22.155733,5.949555920651866e-06,6.515341306647561e-06,122.155733,22.155733,4.29250000000001e-08,42.93872761073329,0.466517500000009,0.466517500000009,0.074014573,0.9334824999999909,0,nominal,100V_10A_25C,1,8,1,15n,1,0
6.623107717465498e-06,6.112416551103529e-07,5.243174529946935e-07,123.520976,23.520976000000005,7.234349372575851e-06,7.758666825570545e-06,123.520976,23.520976000000005,4.542500000000008e-08,36.88956797084883,-1.5742322499999997,-1.5742322499999997,-1.92839797,2.9742322499999996,0,nominal,100V_10A_25C,1,8,1,15n,1,-2
8.582740562916565e-06,6.31974079941409e-07,5.744820543012951e-07,123.521334,23.521333999999996,9.214714642857973e-06,9.789196697159268e-06,123.521334,23.521333999999996,4.920511e-08,44.178779275401816,3.0588023000000106,3.0588023000000106,0.10311906,-1.6588023000000107,1,nominal,100V_10A_25C,1,8,1,25n,0,0
