E_on,E_off,E_dt,E_sw,E_tot,Vds_pk,ov_pct,t_set,E_osc,Vgs_spur,Vgs_spur_hs,Vgs_spur_ls,margin,false_on,VBUS,ILOAD,VDRV,VNEG,NPU_LS,NPD_LS,NPU_HS,NPD_HS,DT,CLKEN,CLKDEL,RUNIT,TJ
8.611021284273771e-06,1.1759083695124471e-06,4.5449702099103664e-07,9.786929653786218e-06,1.0241426674777255e-05,120.967715,20.967715,4.122003999999998e-08,67.55161728219491,3.0651989999999927,3.0651989999999927,0.294129971,-1.6651989999999928,1,100,10,5,0,1,2,8,1,15n,0,4n,8,25
6.330693692016189e-06,7.090954142664015e-07,3.5629106722608096e-07,7.0397891062825905e-06,7.3960801735086714e-06,120.926463,20.926463,3.465285000000013e-08,60.13169546089363,1.6160588000000047,1.6160588000000047,-1.82601272,-0.21605880000000477,1,100,10,5,-2,1,2,8,1,15n,0,4n,8,25
5.314575368086141e-06,6.296395652261728e-07,6.47233250804768e-07,5.944214933312314e-06,6.591448184117082e-06,123.968087,23.968086999999997,4.8725000000000114e-08,63.09366998619324,0.46650280000000066,0.46650280000000066,0.110549789,0.9334971999999992,0,100,10,5,0,1,2,8,1,15n,1,4n,8,25
6.62469205928024e-06,6.403891203362405e-07,6.663406556339263e-07,7.265081179616481e-06,7.931421835250408e-06,123.991575,23.991574999999997,4.142499999999999e-08,59.110056889639885,-1.5742214600000013,-1.5742214600000013,-1.87537137,2.974221460000001,0,100,10,5,-2,1,2,8,1,15n,1,4n,8,25
8.586364345672504e-06,1.1765136789783541e-06,4.1238495122579146e-07,9.762878024650858e-06,1.017526297587665e-05,120.967715,20.967715,4.4474350000000084e-08,68.08749373233132,3.058817300000001,3.058817300000001,0.135043253,-1.6588173000000013,1,100,10,5,0,1,2,8,1,25n,0,4n,8,25
6.31338487965787e-06,7.10464663076868e-07,1.2322000869853135e-06,7.0238495427347375e-06,8.25604962972005e-06,120.926463,20.926463,3.124861999999999e-08,59.80777766973801,1.627960299999998,1.627960299999998,-1.89285252,-0.22796029999999812,1,100,10,5,-2,1,2,8,1,25n,0,4n,8,25
5.27631863362888e-06,6.310901993979138e-07,6.276552176916954e-07,5.907408833026794e-06,6.535064050718489e-06,123.968087,23.968086999999997,4.892466999999999e-08,62.81252917187214,0.447868100000008,0.447868100000008,0.060197075,0.9521318999999919,0,100,10,5,0,1,2,8,1,25n,1,4n,8,25
6.61039655412494e-06,6.416472640317143e-07,1.2609538548073986e-06,7.252043818156654e-06,8.512997672964053e-06,123.991575,23.991574999999997,3.4613320000000096e-08,58.69243942241687,-1.5745496799999996,-1.5745496799999996,-1.94302553,2.9745496799999995,0,100,10,5,-2,1,2,8,1,25n,1,4n,8,25
1.3918575781090066e-05,4.860490240055849e-06,1.3932749027054852e-08,1.8779066021145915e-05,1.879299877017297e-05,142.277037,42.27703700000001,4.992828000000003e-08,78.03044434259117,4.62859979,3.594002599999996,4.62859979,-3.22859979,1,100,10,5,0,1,2,8,1,5n,0,4n,8,25
5.61445683011308e-06,7.153877009653683e-07,1.1919930055281387e-07,6.329844531078449e-06,6.449043831631262e-06,145.156578,45.156577999999996,6.100513000000011e-08,70.15519481556368,2.5661460000000034,2.5661460000000034,1.56028993,-1.1661460000000035,1,100,10,5,-2,1,2,8,1,5n,0,4n,8,25
5.070596514736697e-06,9.077138732262819e-07,1.9511441770036736e-08,5.978310387962979e-06,5.997821829733015e-06,162.29361,62.29361,6.065253000000008e-08,76.36686388641286,1.3220770000000073,1.3220770000000073,1.02392356,0.07792299999999264,0,100,10,5,0,1,2,8,1,5n,1,4n,8,25
6.320792152550691e-06,6.461617202865668e-07,1.5755436339945494e-07,6.966953872837258e-06,7.124508236236713e-06,135.780734,35.780733999999995,5.752500000000014e-08,62.94537294199468,-0.3732949999999988,-0.3732949999999988,-1.23526669,1.7732949999999987,0,100,10,5,-2,1,2,8,1,5n,1,4n,8,25
9.129121394628413e-06,1.1725182282986984e-06,5.798670314466229e-07,1.0301639622927111e-05,1.0881506654373734e-05,118.003586,18.003586,4.796487000000005e-08,65.60358480107779,3.1599550000000107,3.1599550000000107,1.35477853,-1.7599550000000108,1,100,10,5,0,1,2,8,1,10n,0,4n,8,25
6.215505564740378e-06,7.063176363085161e-07,5.383963284203691e-07,6.921823201048894e-06,7.460219529469263e-06,118.668079,18.668079000000006,4.808858000000009e-08,59.20442691057594,1.6188508999999982,1.6188508999999982,-1.47971825,-0.2188508999999983,1,100,10,5,-2,1,2,8,1,10n,0,4n,8,25
5.2158886464301225e-06,6.294181386380026e-07,6.427064170080407e-07,5.845306785068125e-06,6.488013202076166e-06,123.968087,23.968086999999997,4.537499999999997e-08,61.9977534608342,0.4695315999999963,0.4695315999999963,0.173719534,0.9304684000000036,0,100,10,5,0,1,2,8,1,10n,1,4n,8,25
6.546097033775674e-06,6.397852908582099e-07,6.856536345165177e-07,7.185882324633884e-06,7.871535959150402e-06,123.991575,23.991574999999997,5.105628000000004e-08,58.809950389941235,-1.5786624600000003,-1.5786624600000003,-1.82189516,2.9786624600000002,0,100,10,5,-2,1,2,8,1,10n,1,4n,8,25
5.156665712068132e-06,4.862505999597754e-06,4.183085288194467e-08,1.0019171711665886e-05,1.006100256454783e-05,142.276904,42.276904,4.992224999999997e-08,78.02740119722365,4.62934006,1.5970142000000038,4.62934006,-3.2293400599999997,1,100,10,5,0,1,2,8,4,5n,0,4n,8,25
