E_on,E_off,E_dt,Vds_pk_off,ov_pct_off,E_sw,E_tot,Vds_pk,ov_pct,t_set,E_osc,Vgs_spur,Vgs_spur_hs,Vgs_spur_ls,margin,false_on,case,corner,NPU_LS,NPD_LS,NPD_HS,DT,CLKEN,VNEG
5.999491135398926e-06,6.331139545366167e-07,6.5045465632948e-07,124.032859,24.032859000000002,6.632605089935543e-06,7.283059746265023e-06,124.032859,24.032859000000002,4.542500000000008e-08,62.54317535793141,0.5255748999999952,0.5255748999999952,0.108173922,1.1544251000000048,0,VTH_hi,100V_10A_25C,1,2,1,15n,1,0
7.439810286250557e-06,6.512171158093763e-07,6.680908860330101e-07,123.438947,23.438947,8.091027402059933e-06,8.759118288092942e-06,123.438947,23.438947,4.1124999999999966e-08,57.968324085443335,-1.6210459999999998,-1.6210459999999998,-1.88004506,3.3010459999999995,0,VTH_hi,100V_10A_25C,1,2,1,15n,1,-2
9.337592727497645e-06,1.047223515017341e-06,5.598063794244651e-07,121.456534,21.456534000000005,1.0384816242514985e-05,1.0944622621939451e-05,121.456534,21.456534000000005,4.675497000000005e-08,67.73370594613286,3.238073599999993,3.238073599999993,0.150027037,-1.5580735999999928,1,VTH_hi,100V_10A_25C,1,2,1,25n,0,0
7.075541428442454e-06,7.045997906175302e-07,1.3835857123432462e-06,121.72734,21.727339999999998,7.780141219059983e-06,9.163726931403229e-06,121.72734,21.727339999999998,3.4054910000000146e-08,58.550091383163725,1.9393965000000009,1.9393965000000009,-1.88066622,-0.2593965000000009,1,VTH_hi,100V_10A_25C,1,2,1,25n,0,-2
5.958381795801138e-06,6.34250442843078e-07,6.305290210863319e-07,124.032859,24.032859000000002,6.592632238644216e-06,7.223161259730547e-06,124.032859,24.032859000000002,4.5525000000000085e-08,62.20073434977986,0.5088522000000069,0.5088522000000069,0.0524961187,1.171147799999993,0,VTH_hi,100V_10A_25C,1,2,1,25n,1,0
7.4359641998747325e-06,6.527988403534477e-07,1.375671690157384e-06,123.438947,23.438947,8.08876304022818e-06,9.464434730385563e-06,123.438947,23.438947,3.095556999999998e-08,57.56360938171211,-1.6207464999999992,-1.6207464999999992,-1.94737516,3.300746499999999,0,VTH_hi,100V_10A_25C,1,2,1,25n,1,-2
5.720022948596386e-06,1.0440256973649368e-06,7.716326466220214e-07,114.875405,14.875405,6.764048645961322e-06,7.535681292583344e-06,118.328483,18.328483000000006,4.3924999999999965e-08,64.89162696920047,1.7437479999999965,1.7437479999999965,1.1520677,-0.06374799999999659,1,VTH_hi,100V_10A_25C,1,2,4,10n,0,0
7.021576651747655e-06,6.999501737917134e-07,7.991529595435633e-07,118.630353,18.630353,7.721526825539368e-06,8.520679785082932e-06,118.971475,18.971474999999998,4.7872420000000114e-08,57.70772700421031,-0.5936664000000036,-0.5936664000000036,-1.62880591,2.2736664000000033,0,VTH_hi,100V_10A_25C,1,2,4,10n,0,-2
5.996064847136236e-06,6.330425878307234e-07,6.927920491701112e-07,124.003251,24.003251000000006,6.6291074349669595e-06,7.321899484137071e-06,124.003251,24.003251000000006,4.527499999999996e-08,61.49220603809555,0.4568958000000123,0.4568958000000123,0.153612064,1.2231041999999877,0,VTH_hi,100V_10A_25C,1,2,4,10n,1,0
7.487432474355021e-06,6.502280004400973e-07,7.862437172482654e-07,123.420815,23.420815,8.137660474795119e-06,8.923904192043384e-06,123.420815,23.420815,4.791708999999995e-08,57.77703798430379,-1.6624169000000002,-1.6624169000000002,-1.83195998,3.3424169,0,VTH_hi,100V_10A_25C,1,2,4,10n,1,-2
