dev,VBUS,ILOAD,TJ,NPU_LS,NPD_LS,NPD_HS,DT,CLKEN,VNEG,E_tot,ov_pct,margin,Vgs_spur_hs
0,50,2,25,8,8,8,15n,0,0,5.941149920476655e-07,5.867879000000003,0.19523719999999978,1.2047628000000001
0,100,10,25,8,8,8,15n,0,0,3.969643178527654e-06,22.598049,-0.2803118999999996,1.6803118999999995
0,200,10,125,8,8,8,15n,0,0,1.2636840930872867e-05,5.7442879999999965,-0.657999999999987,1.907999999999987
0,200,2,125,8,8,8,15n,0,0,7.585251250681584e-06,4.828156500000006,-0.651535000000024,1.901535000000024
0,50,2,25,1,2,8,10n,1,-2,1.4716611822029451e-06,25.361384799999996,3.09033367572,-1.69033367572
0,100,10,25,1,2,8,10n,1,-2,8.163174159146178e-06,23.076221000000004,3.0302275499999998,-1.6302275499999999
0,200,10,125,1,2,8,10n,1,-2,2.2983378923195315e-05,7.562013500000006,3.0337952,-1.7837952000000001
0,200,2,125,1,2,8,10n,1,-2,9.699980872247924e-06,28.870419499999997,2.29634038,-1.7783074999999968
0,50,2,25,6,2,1,10n,0,0,6.171242492832523e-07,64.7323308,-2.6659006699999996,4.0659006699999996
0,100,10,25,6,2,1,10n,0,0,7.205358322563931e-06,18.217028,-2.9134945999999986,4.3134945999999985
0,200,10,125,6,2,1,10n,0,0,2.4951121696858474e-05,7.997612000000004,-3.3105420000000265,4.5605420000000265
0,200,2,125,6,2,1,10n,0,0,1.3043267156659092e-05,13.189052500000003,-3.7726959999999963,5.022695999999996
0,50,2,25,8,8,1,25n,1,-2,7.271480067686812e-07,10.1719564,2.29175391627,-0.89175391627
0,100,10,25,8,8,1,25n,1,-2,5.9341918122485316e-06,23.638364999999993,2.274721699999995,-0.8747216999999949
0,200,10,125,8,8,1,25n,1,-2,1.541681241359449e-05,6.051254499999999,1.9728389999999933,-0.7228389999999933
0,200,2,125,8,8,1,25n,1,-2,9.276103262902488e-06,2.852458999999996,2.0246669999999938,-0.7746669999999938
0,50,2,25,2,8,4,15n,0,-2,1.2562099797214682e-06,7.9989333999999985,2.116591664,-0.7165916640000001
0,100,10,25,2,8,4,15n,0,-2,6.2374248370284425e-06,23.806848,1.9803604,-0.5803604
0,200,10,125,2,8,4,15n,0,-2,1.8014471292532155e-05,6.298482000000007,2.113213700000003,-0.8632137000000029
0,200,2,125,2,8,4,15n,0,-2,9.852087801420668e-06,3.068551499999998,2.107608599999999,-0.8576085999999989
0,50,2,25,4,8,8,25n,1,-2,1.0024368277744221e-06,10.122911599999995,2.6712168409999997,-1.271216841
0,100,10,25,4,8,8,25n,1,-2,6.687488468415846e-06,23.597032999999996,2.734965,-1.334965
0,200,10,125,4,8,8,25n,1,-2,1.6950195007428054e-05,6.022617999999994,2.637976999999978,-1.387976999999978
0,200,2,125,4,8,8,25n,1,-2,9.60170266641886e-06,2.8302434999999946,2.66269699999998,-1.41269699999998
0,50,2,25,8,2,8,25n,0,0,6.17281533183789e-07,6.127970599999998,0.1923951900000005,1.2076048099999994
0,100,10,25,8,2,8,25n,0,0,4.578654026776978e-06,18.563738,-0.27890020000000115,1.678900200000001
0,200,10,125,8,2,8,25n,0,0,1.3643393554579179e-05,8.438770000000005,-0.6517589999999984,1.9017589999999984
0,200,2,125,8,2,8,25n,0,0,7.677557343783875e-06,2.0538820000000015,-0.6453309999999988,1.8953309999999988
0,50,2,25,2,2,1,15n,1,0,9.3902452184556e-07,5.273829000000006,0.9463011999999984,0.4536988000000015
0,100,10,25,2,2,1,15n,1,0,5.302225569486036e-06,24.033321,0.9142068999999906,0.4857931000000093
0,200,10,125,2,2,1,15n,1,0,1.594108463588787e-05,5.077483999999998,0.7604070000000149,0.48959299999998507
0,200,2,125,2,2,1,15n,1,0,7.91844787073064e-06,16.295895,0.731751174,0.5022470000000112
0,50,2,25,3,8,1,35n,0,-2,1.0168269453220542e-06,12.369305800000006,0.845914306,0.554085694
0,100,10,25,3,8,1,35n,0,-2,7.288332847251776e-06,25.697961000000006,0.36205960000000337,1.0379403999999965
0,200,10,125,3,8,1,35n,0,-2,1.6936116252184757e-05,6.986046999999998,-0.5241161000000005,1.7741161000000005
