E_on,E_off,E_dt,Vds_pk_off,ov_pct_off,E_sw,E_tot,Vds_pk,ov_pct,t_set,E_osc,Vgs_spur,Vgs_spur_hs,Vgs_spur_ls,margin,false_on,VBUS,ILOAD,VDRV,VNEG,NPU_LS,NPD_LS,NPU_HS,NPD_HS,DT,CLKEN,CLKDEL,RUNIT,TJ,corner
1.695249395385965e-07,4.2334338845233294e-07,1.0313556301872464e-08,0.502805404,-98.994389192,5.928683279909295e-07,6.03181884292802e-07,107.663548,115.32709600000003,6.019599999999997e-08,29.563934465600006,0.909664277,0.6373063300000004,0.909664277,0.49033572299999995,0,50,2,5,0,8,2,8,8,5n,1,4n,8,25,50V_2A_25C
1.03567313836421e-06,2.146549167856571e-07,1.984054340562796e-07,30.2285502,-39.5428996,1.2503280551498672e-06,1.4487334892061467e-06,65.3555511,30.7111022,4.8905e-08,15.302323962825401,-0.8197116999999992,-0.8197116999999992,-1.14191896,2.219711699999999,0,50,2,5,-2,1,2,8,4,10n,0,4n,8,25,50V_2A_25C
6.818243609655017e-07,2.757327758607901e-07,9.296397076847166e-08,11.5397637,-76.9204726,9.575571368262918e-07,1.0505211075947634e-06,82.3633238,64.7266476,6.110500000000007e-08,23.468950470098758,1.73749484,0.7957940000000008,1.73749484,-0.3374948400000002,1,50,2,5,0,1,2,8,8,10n,0,4n,8,25,50V_2A_25C
4.904340116882272e-07,2.7571641599962625e-07,9.293935721117856e-08,11.540757,-76.918486,7.661504276878535e-07,8.59089784899032e-07,82.3627871,64.72557420000001,6.110500000000007e-08,23.46871383277798,1.73745464,0.9422010000000007,1.73745464,-0.33745464000000003,1,50,2,5,0,2,2,8,8,10n,0,4n,8,25,50V_2A_25C
3.8043923107225355e-07,2.7571070622263715e-07,9.294230702181564e-08,11.5411628,-76.9176744,6.561499372948906e-07,7.490922443167062e-07,82.3625597,64.72511940000001,6.110500000000007e-08,23.468615307345118,1.73743932,1.0286158999999984,1.73743932,-0.3374393200000001,1,50,2,5,0,3,2,8,8,10n,0,4n,8,25,50V_2A_25C
4.095301997980387e-07,2.1555159356064762e-07,2.8347533670826234e-07,55.3337059,10.667411799999995,6.250817933586863e-07,9.085571300669486e-07,55.3337059,10.667411799999995,4.006108000000011e-08,12.368930343397807,-0.91404163,-0.91404163,-1.97759737,2.31404163,0,50,2,5,-2,6,2,8,8,35n,0,4n,8,25,50V_2A_25C
6.430683456455689e-07,2.091556462151273e-07,2.942514517434581e-07,55.3337462,10.6674924,8.522239918606962e-07,1.1464754436041542e-06,55.3337462,10.6674924,3.012174000000002e-08,12.898026222883484,-1.117083669,-1.117083669,-1.98002307,2.517083669,0,50,2,5,-2,3,2,8,8,25n,0,4n,8,25,50V_2A_25C
7.851409768713558e-07,2.1228406444840555e-07,2.9324631485344057e-07,52.722028,5.4440560000000024,9.974250413197614e-07,1.290671356173202e-06,53.0440178,6.088035599999999,1.6054910000000064e-08,12.690231132000326,-1.2717595069999998,-1.2717595069999998,-1.84587443,2.671759507,0,50,2,5,-2,2,2,8,8,15n,0,4n,8,25,50V_2A_25C
5.472255121509064e-07,2.1555148914531477e-07,2.8347516702433503e-07,55.3337269,10.667453800000002,7.627770012962211e-07,1.0462521683205562e-06,55.3337269,10.667453800000002,4.006108000000011e-08,12.36888154843884,-1.024643261,-1.024643261,-1.9775972,2.424643261,0,50,2,5,-2,4,2,8,8,35n,0,4n,8,25,50V_2A_25C
5.48136329199123e-07,2.122842782770919e-07,2.9324887376763816e-07,52.7222786,5.444557200000006,7.604206074762149e-07,1.053669481243853e-06,53.044066,6.088132000000002,1.6054910000000064e-08,12.690357627572462,-1.0250764970000001,-1.0250764970000001,-1.84588839,2.425076497,0,50,2,5,-2,4,2,8,8,15n,0,4n,8,25,50V_2A_25C
6.451644025738817e-07,2.1228420011118007e-07,2.9324793718186373e-07,52.7221885,5.444377000000003,8.574486026850618e-07,1.1506965398669256e-06,53.0440491,6.088098200000004,1.6054910000000064e-08,12.690311287035446,-1.116985251,-1.116985251,-1.84588336,2.516985251,0,50,2,5,-2,3,2,8,8,15n,0,4n,8,25,50V_2A_25C
5.44707702702758e-07,2.0915573615737498e-07,2.9425168803602205e-07,55.3337269,10.667453800000002,7.53863438860133e-07,1.0481151268961551e-06,55.3337269,10.667453800000002,3.012174000000002e-08,12.898071538948358,-1.0231293780000001,-1.0231293780000001,-1.98002265,2.423129378,0,50,2,5,-2,4,2,8,8,25n,0,4n,8,25,50V_2A_25C
3.144037319738113e-07,2.1555164671829298e-07,2.8347542407979185e-07,55.3336953,10.667390600000003,5.299553786921043e-07,8.134308027718961e-07,55.3336953,10.667390600000003,4.006108000000011e-08,12.36895521173056,-0.8302209700000001,-0.8302209700000001,-1.97759743,2.23022097,0,50,2,5,-2,8,2,8,8,35n,0,4n,8,25,50V_2A_25C
3.142702221657236e-07,2.1228440602420475e-07,2.932830925470488e-07,52.7224237,5.444847400000001,5.265546281899284e-07,8.198377207369772e-07,53.0440925,6.088184999999997,1.6054910000000064e-08,12.690433551378177,-0.8337152100000003,-0.8337152100000003,-1.84589646,2.23371521,0,50,2,5,-2,8,2,8,8,15n,0,4n,8,25,50V_2A_25C
4.093996262480026e-07,2.1228436294122212e-07,2.932498892901444e-07,52.7223748,5.444749599999994,6.216839891892247e-07,9.149338784793691e-07,53.0440836,6.0881672,1.6054910000000064e-08,12.690407925522114,-0.915050374,-0.915050374,-1.84589375,2.315050374,0,50,2,5,-2,6,2,8,8,15n,0,4n,8,25,50V_2A_25C
3.1105379482131996e-07,2.0915574672143858e-07,2.942520847099754e-07,55.3336953,10.667390600000003,5.202095415427585e-07,8.144616262527339e-07,55.3336953,10.667390600000003,3.0121750000000056e-08,12.898145570354094,-0.8328294400000003,-0.8328294400000003,-1.98002193,2.23282944,0,50,2,5,-2,8,2,8,8,25n,0,4n,8,25,50V_2A_25C
4.0622526375565543e-07,2.0915569706584642e-07,2.9425195027166756e-07,55.3337059,10.667411799999995,6.153809608215018e-07,9.096329110931694e-07,55.3337059,10.667411799999995,3.0121750000000056e-08,12.898120486255133,-0.91543363,-0.91543363,-1.98002218,2.31543363,0,50,2,5,-2,6,2,8,8,25n,0,4n,8,25,50V_2A_25C
7.87140416182059e-07,2.0915562346067875e-07,2.942510610520986e-07,55.3337798,10.667559600000004,9.962960396427377e-07,1.2905471006948363e-06,55.3337798,10.667559600000004,3.0121729999999983e-08,12.89794824647098,-1.273207759,-1.273207759,-1.9800238,2.673207759,0,50,2,5,-2,2,2,8,8,25n,0,4n,8,25,50V_2A_25C
6.443414645652325e-07,2.155513929488704e-07,2.834750155836714e-07,55.3337462,10.6674924,8.598928575141029e-07,1.1433678730977742e-06,55.3337462,10.6674924,4.006108000000011e-08,12.368836600703291,-1.116142021,-1.116142021,-1.97759704,2.516142021,0,50,2,5,-2,3,2,8,8,35n,0,4n,8,25,50V_2A_25C
7.855993116213661e-07,2.155512267756279e-07,2.8347477343637876e-07,55.3337798,10.667559600000004,1.001150538396994e-06,1.2846253118333728e-06,55.3337798,10.667559600000004,4.006108000000011e-08,12.368758930871014,-1.271731266,-1.271731266,-1.97759673,2.671731266,0,50,2,5,-2,2,2,8,8,35n,0,4n,8,25,50V_2A_25C
1.0380346949308129e-06,2.1228601454388268e-07,2.9327554889823634e-07,52.7216577,5.443315400000004,1.2503207094746957e-06,1.543596258372932e-06,53.0439376,6.087875199999998,1.6054910000000064e-08,12.690061465249917,-1.4203539999999997,-1.4203539999999997,-1.84585395,2.8203539999999996,0,50,2,5,-2,1,2,8,8,15n,0,4n,8,25,50V_2A_25C
