vin,iload,rload,peak_V,ov_pct,gate_V,margin_V,latency_ns,trans_ns,eff_pct,p_dev_W,safe
50,2,12.5,68.058743,36.117486000000014,-0.977613609,2.377613609,2.347906463702144,0.5382964479578637,97.08375635920183,0.7367982,ok
50,10,2.5,61.7965357,23.5930714,-1.1187134,2.5187134,3.19861019989815,0.558764291754109,92.85791218970071,3.799599,ok
100,2,25.0,113.599076,13.599075999999997,-1.15637209,2.55637209,2.4388981344618617,0.7706029833899386,97.67249388438734,1.5502697,ok
100,10,5.0,110.055804,10.055803999999995,-1.20923592,2.6092359199999997,3.2892288351320587,0.7991054768944681,96.02408065938474,5.346793,ok
150,2,37.5,171.327032,14.218021333333336,-0.864948503,2.264948503,2.554113161649962,0.9115492886482154,98.06640118758689,2.0656899,ok
150,10,7.5,164.632605,9.755070000000009,-1.09437558,2.49437558,3.3904023462352604,0.9705319947652427,97.10542383308092,6.938547999999999,ok
200,2,50.0,206.210085,3.105042499999996,-1.09490476,2.49490476,2.6465242877332584,0.9631098547311848,98.4191976623458,2.251202,OVER-RATING
200,10,10.0,208.239243,4.119621499999994,-0.742449395,2.142449395,3.4816128837313376,1.0399107839685973,97.64744771666311,8.555674,OVER-RATING
