E_on,E_off,E_dt,Vds_pk_off,ov_pct_off,E_sw,E_tot,Vds_pk,ov_pct,t_set,E_osc,Vgs_spur,Vgs_spur_hs,Vgs_spur_ls,margin,false_on,VBUS,ILOAD,VDRV,VNEG,NPU_LS,NPD_LS,NPU_HS,NPD_HS,DT,CLKEN,CLKDEL,RUNIT,TJ,corner
2.6787052213885137e-06,1.7745663391453402e-06,7.616182625120299e-10,0.175705344,-99.648589312,4.453271560533854e-06,4.454033178796366e-06,84.4346385,68.86927700000001,5.391770000000007e-08,24.86536520530109,3.8240193,3.652583700000001,3.8240193,-2.4240193,1,50,2,5,0,1,2,8,1,5n,0,4n,8,25,50V_2A_25C
6.629560595332733e-07,2.3159860701802752e-07,5.130646958961058e-09,2.57990042,-94.84019916,8.945546665513009e-07,8.99685313510262e-07,103.340794,106.681588,6.441131999999995e-08,34.91378796640218,2.6276623999999984,2.6276623999999984,1.15990693,-1.2276623999999985,1,50,2,5,-2,1,2,8,1,5n,0,4n,8,25,50V_2A_25C
7.310220853374339e-07,4.233269355896537e-07,3.677403239788086e-09,0.502705301,-98.994589398,1.1543490209270876e-06,1.1580264241668758e-06,107.664079,115.328158,6.019642000000001e-08,29.565773249504048,1.3475323999999986,1.3475323999999986,0.909685565,0.05246760000000128,0,50,2,5,0,1,2,8,1,5n,1,4n,8,25,50V_2A_25C
8.935226190232559e-07,2.290815800135615e-07,4.5256193876252686e-09,3.13286644,-93.73426712,1.1226041990368175e-06,1.1271298184244428e-06,102.669422,105.338844,6.441056999999998e-08,34.380546383658455,-0.32524619999999516,-0.32524619999999516,-1.19490201,1.725246199999995,0,50,2,5,-2,1,2,8,1,5n,1,4n,8,25,50V_2A_25C
1.0220181121085786e-06,2.1662713797278054e-07,1.8967280824904653e-07,54.5289134,9.0578268,1.2386452500813591e-06,1.4283180583304055e-06,54.5289134,9.0578268,3.532423999999995e-08,12.15204051968866,2.6984063999999996,2.6984063999999996,0.00929735269,-1.2984063999999997,1,50,2,5,0,1,2,8,1,35n,0,4n,8,25,50V_2A_25C
1.0159593081712295e-06,2.1537403100356078e-07,2.1264341127419088e-07,56.4110192,12.822038399999997,1.2313333391747902e-06,1.443976750448981e-06,56.4110192,12.822038399999997,4.001345999999995e-08,12.31537949787644,0.8541135000000004,0.8541135000000004,-1.97822534,0.5458864999999995,0,50,2,5,-2,1,2,8,1,35n,0,4n,8,25,50V_2A_25C
6.818267385610864e-07,2.119825475242871e-07,2.3338365731809782e-07,53.2643971,6.528794199999993,8.938092860853734e-07,1.1271929434034713e-06,53.2643971,6.528794199999993,3.562514000000006e-08,12.662063628612957,0.376990499999998,0.376990499999998,0.00586847724,1.023009500000002,0,50,2,5,0,1,2,8,1,35n,1,4n,8,25,50V_2A_25C
1.0502001308671641e-06,2.1359916332766542e-07,2.5945777950907846e-07,55.452043,10.904086000000007,1.2637992941948295e-06,1.523257073703908e-06,55.452043,10.904086000000007,4.0060540000000056e-08,12.387699956872654,-1.7027457390000003,-1.7027457390000003,-1.98905508,3.1027457390000004,0,50,2,5,-2,1,2,8,1,35n,1,4n,8,25,50V_2A_25C
6.789661207275329e-07,2.754674877603513e-07,8.661531742236334e-08,11.5408962,-76.9182076,9.544336084878843e-07,1.0410489259102476e-06,82.3664385,64.732877,6.110502000000014e-08,23.470112602259043,1.73713329,1.4173936000000005,1.73713329,-0.33713329000000014,1,50,2,5,0,1,2,8,4,10n,0,4n,8,25,50V_2A_25C
1.03567313836421e-06,2.146549167856571e-07,1.984054340562796e-07,30.2285502,-39.5428996,1.2503280551498672e-06,1.4487334892061467e-06,65.3555511,30.7111022,4.8905e-08,15.302323962825401,-0.8197116999999992,-0.8197116999999992,-1.14191896,2.219711699999999,0,50,2,5,-2,1,2,8,4,10n,0,4n,8,25,50V_2A_25C
6.812074265109089e-07,2.14106638443559e-07,1.5453150953149024e-07,25.9864154,-48.02716920000001,8.953140649544679e-07,1.049845574485958e-06,69.8679341,39.7358682,5.3007640000000144e-08,17.308182721040563,0.3079295000000002,0.3079295000000002,0.210172745,1.0920704999999997,0,50,2,5,0,1,2,8,4,10n,1,4n,8,25,50V_2A_25C
