CLKEN,COUT,D,DT,FSW,Iin,Iout,LOUT,NCYC,NPD_HS,NPD_LS,NPU_HS,NPU_LS,Pin,Pout,RLOAD,RUNIT,TJ,VDRV,VIN,VNEG,Vin,Vout,config,eff,loss,ov_pct,ripple_mV,slices,sw_pk
1,4.7u,0.5,15n,500k,2.40591687780871,4.846858987409618,22u,150,8,8,1,1,240.59168778087098,234.15169821590194,10,8,25,5,100,-2,100.00000000000001,48.28483565870704,"clamp on, -2 V",97.32327013274269,6.439989564969039,0.03908299999999087,724.6127000000015,1,100.039083
1,4.7u,0.5,15n,500k,2.415692804414319,4.859283218898295,22u,150,8,8,2,2,241.56928044143189,235.3249560400352,10,8,25,5,100,-2,100.00000000000001,48.40283062603187,"clamp on, -2 V",97.41509997049869,6.244324401396682,0.23632899999998355,727.3788000000038,2,100.236329
1,4.7u,0.5,15n,500k,2.4190450553403706,4.863496645216436,22u,150,8,8,3,3,241.90450553403713,235.72462503092564,10,8,25,5,100,-2,100.00000000000001,48.44307587360227,"clamp on, -2 V",97.44532228142317,6.179880503111491,4.632973999999989,728.2121999999945,3,104.632974
1,4.7u,0.5,15n,500k,2.4207865098073538,4.865777696453916,22u,150,8,8,4,4,242.0786509807354,235.93837845138808,10,8,25,5,100,-2,100.00000000000001,48.464296975279574,"clamp on, -2 V",97.46352166766,6.140272529347328,8.87769199999998,728.8727999999978,4,108.877692
1,4.7u,0.5,15n,500k,2.4224835787420664,4.868081653554388,22u,150,8,8,6,6,242.24835787420662,236.15623673460507,10,8,25,5,100,-2,100.00000000000001,48.48611299407422,"clamp on, -2 V",97.48517546493957,6.092121139601545,14.300711999999988,729.3820000000011,6,114.300712
1,4.7u,0.5,15n,500k,2.4232943498638977,4.869111961969528,22u,150,8,8,8,8,242.32943498638974,236.25796147563906,10,8,25,5,100,-2,100.00000000000001,48.496744973920656,"clamp on, -2 V",97.49453733877121,6.071473510750678,15.067106999999975,729.2162999999973,8,115.067107
0,4.7u,0.5,15n,500k,2.4148801535353264,4.863696029361774,22u,150,8,8,1,1,241.48801535353266,235.7480711686502,10,8,25,5,100,0,100.00000000000001,48.44591212509423,"no clamp, 0 V",97.6230935616083,5.739944184882461,-0.9221837000000191,726.8552999999969,1,99.0778163
0,4.7u,0.5,15n,500k,2.428211055738148,4.880324236120909,22u,150,8,8,8,8,242.82110557381483,237.31945553942364,10,8,25,5,100,0,100.00000000000001,48.60283689012994,"no clamp, 0 V",97.73427848399334,5.50165003439119,5.257436999999981,731.0366999999972,8,105.257437
