config,label,latency_ns,trans_ns,p_dev_W,p_gate_W,eff_pct,ov_pct
gan_ours,GaN HEMT + our driver,2.7120856535199014,0.8225675894403526,2.8003918000000003,0.03490123,97.39390032118858,28.263335000000012
si_ours,Si MOSFET + our driver,17.23139969282562,7.560780322497809,8.9248763,1.4897276000000002,95.0311151453884,-1.6272910999999934
gan_base,GaN HEMT + base-paper driver,3.9126892770151906,2.0575977937712757,3.0827489000000003,0.031334890000000004,97.28118154229139,4.1915209999999945
