 2.00000000e-13  4.84997168e+03  2.00000000e-13  4.84997168e+03  2.00000000e-13  8.23099845e+00  2.00000000e-13  4.84793748e+03  2.00000000e-13  4.69608043e+03  2.00000000e-13  9.69359117e+00  2.00000000e-13 -3.06399234e-01 
 2.05441162e-13  6.22634787e+00  2.05441162e-13  6.22634787e+00  2.05441162e-13  8.23093856e+00  2.05441162e-13  4.19217680e+00  2.05441162e-13  8.58493611e+00  2.05441162e-13  9.69375714e+00  2.05441162e-13 -3.06233266e-01 
 2.16323486e-13  6.22651319e+00  2.16323486e-13  6.22651319e+00  2.16323486e-13  8.23081878e+00  2.16323486e-13  4.19239645e+00  2.16323486e-13  8.58519415e+00  2.16323486e-13  9.69408908e+00  2.16323486e-13 -3.05901331e-01 
 2.38088134e-13  6.22650303e+00  2.38088134e-13  6.22650303e+00  2.38088134e-13  8.23057922e+00  2.38088134e-13  4.19249497e+00  2.38088134e-13  8.58517340e+00  2.38088134e-13  9.69475295e+00  2.38088134e-13 -3.05237462e-01 
 2.81617431e-13  6.22685292e+00  2.81617431e-13  6.22685292e+00  2.81617431e-13  8.23010015e+00  2.81617431e-13  4.19306219e+00  2.81617431e-13  8.58571308e+00  2.81617431e-13  9.69608070e+00  2.81617431e-13 -3.03909732e-01 
 3.68676023e-13  6.22717550e+00  3.68676023e-13  6.22717550e+00  3.68676023e-13  8.22914214e+00  3.68676023e-13  4.19381938e+00  3.68676023e-13  8.58620273e+00  3.68676023e-13  9.69873617e+00  3.68676023e-13 -3.01254306e-01 
 5.42793208e-13  6.22820016e+00  5.42793208e-13  6.22820016e+00  5.42793208e-13  8.22722667e+00  5.42793208e-13  4.19571308e+00  5.42793208e-13  8.58777345e+00  5.42793208e-13  9.70404697e+00  5.42793208e-13 -2.95943581e-01 
 8.91027578e-13  6.22988077e+00  8.91027578e-13  6.22988077e+00  8.91027578e-13  8.22339796e+00  8.91027578e-13  4.19913096e+00  8.91027578e-13  8.59033754e+00  8.91027578e-13  9.71466805e+00  8.91027578e-13 -2.85322649e-01 
 1.58749632e-12  6.23365350e+00  1.58749632e-12  6.23365350e+00  1.58749632e-12  8.21574942e+00  1.58749632e-12  4.20637505e+00  1.58749632e-12  8.59609740e+00  1.58749632e-12  9.73590815e+00  1.58749632e-12 -2.64082862e-01 
 2.98043380e-12  6.24095932e+00  2.98043380e-12  6.24095932e+00  2.98043380e-12  8.20048779e+00  2.98043380e-12  4.22061084e+00  2.98043380e-12  8.60720362e+00  2.98043380e-12  9.77837998e+00  2.98043380e-12 -2.21611639e-01 
 5.76630876e-12  6.25650221e+00  5.76630876e-12  6.25650221e+00  5.76630876e-12  8.17010576e+00  5.76630876e-12  4.24996267e+00  5.76630876e-12  8.63070604e+00  5.76630876e-12  9.86328983e+00  5.76630876e-12 -1.36703006e-01 
 1.13380587e-11  6.28945656e+00  1.13380587e-11  6.28945656e+00  1.13380587e-11  8.10990254e+00  1.13380587e-11  4.31033042e+00  1.13380587e-11  8.67995650e+00  1.13380587e-11  1.00329710e+01  1.13380587e-11  3.29757748e-02 
